"user","ecletic","clusters_total","clusters","media_pop","mediana_pop","dp_pop","news","news_total","old","old_total","count_sim.x","tempo_sim.x","count_pop.x","tempo_pop.x","count_sim.y","tempo_sim.y","count_pop.y","tempo_pop.y"
"4815seb2342",2904.5011194,145,64,5.0840303801,5.08330470234,0.751306630407,54,55,145,164,0.0538838876241114,0.152713141101827,0.119664217970429,0.0387060956709699,0.152178311789268,0.167765413990196,0.105738019919151,0.00528773511143885
"4lB3R70",1886.1462954,103,41,5.6414286054,5.83734210205,0.669876755755,20,20,78,81,-0.0631578947368421,0.131926580596105,0.231578947368421,0.374671488892938,0.0919846807160504,0.0163716075957618,0.0356547896574281,0.0133623522395135
"5h2",1752.70120548,83,28,4.75648260549,4.93938445065,1.09879540968,16,16,133,157,-0.0672268907563025,-0.109705617921863,-0.158997207663587,-0.0168073161363204,0.130414964307153,0.247758635571994,0.314134340598958,0.343875680600928
"690min",3983.19725508,164,72,5.20762465514,5.32267178751,0.927067447778,34,34,145,158,0.105169340463458,0.139661202249738,0.0802139037433155,0.028648451743536,0.155261670293894,0.159251122164317,0.221966684197938,0.223144019516042
"6seven",952.515223347,56,19,5.68557056079,5.77173442539,0.533527213775,21,21,39,40,-0.300716846900152,-0.238267414949422,0.205251181217564,0.0523026032815805,-0.0581081611652554,-0.0553088008906117,-0.0608108663357324,0.0212726157271584
"6WaysTilSunday",1595.12623186,47,27,4.80868565773,4.83585211734,0.709695307032,29,29,171,182,-0.0419235830417449,0.0321386634974628,-0.0517879555221554,-0.12113803933659,0.228193930164354,0.225631224362718,0.262739573391889,0.190611162652892
"6yk",2134.81323029,92,41,4.75300891167,4.90634581821,0.910882163331,78,79,191,230,0.157666701703715,0.18950640604745,0.306615670500968,0.256643183843659,0.148117551323215,0.16525897705686,0.318534547932177,0.342580929893396
"730n4rd0",1863.70217251,79,34,5.04778060601,5.07525855251,0.976868672171,14,14,150,159,0.164835164835165,-0.110498924021966,0.208791208791209,-0.0220997848043932,0.106947564025037,0.175776033861553,0.181402953509581,0.129804924151489
"76ross",4064.50273338,155,72,5.32732014886,5.49314424179,0.880562299496,44,44,284,297,0.0477966160523401,-0.0834282336730248,-0.14338984815702,-0.288790039637394,0.233525663847117,0.249143542665009,0.123475916340284,0.119655945834596
"777egray",1211.52837959,38,23,5.93474802469,5.99102143783,0.376783038018,55,55,94,98,0.147673634524612,0.112761750356464,0.196091688725496,0.262483668701758,0.0766669052176412,0.091024619548587,-0.000229042752120262,0.0540111428897532
