"","user","fam_novid","fam_conhec","pop_novid","pop_conhec"
"95","aakashamin",0.0406746031746032,0.190282734049796,0.100198412698413,0.0918719657705783
"96","Aakepaake",-0.236363636363636,0.356831874749858,0.2,-0.0656242528275601
"97","aalicen",0.199566630043301,0.275543165063995,-0.104121720022592,0.135949577879997
"98","aalinerabelo",-0.0985155195681512,0.235113303839582,0.211875843454791,0.149857264690275
"99","aamock",0.116780214234085,0.366118507758363,0.083262802325815,0.199440363284049
"100","aamoroz",-0.170599192030547,0.0418788974817675,0.315789993758673,0.113122244324876
"101","aarion81",0.21010101010101,0.146358388372553,0.0282828282828283,0.0478004964026003
"102","AaronArnold",0.123993434989063,0.266787059937583,0.080531818601144,0.212908870736314
"103","aaronfrank",-0.0214634248487472,0.238808281455789,0.0754226905584934,0.0895346675995455
"104","Aarong88",0.155555555555556,0.244164766118186,-0.0666666666666667,0.0995423367023532
"105","AaronHimself",0.155555555555556,0.21066574203488,-0.555555555555556,0.106535015522394
"106","aaronjarred",0.0170731707317073,0.15588505579679,-0.0902439024390244,-0.00682146189516426
"107","aaronspud",0.23606684260939,0.274262523358225,-0.150326797385621,0.0549327440560256
"108","aaronysaiki",-0.0868946750581561,0.196932667602314,0.0128205258282525,0.218999936801742
"109","Abaffiato",0.106719367588933,0.443589743589744,0.41501976284585,-0.0512820512820513
"110","abaker009",0.137408583724303,0.394557823129252,0.212121212121212,0.33843537414966
"111","aBAM",0.0333333333333333,0.331348891001876,0.05,0.0441951181502157
"112","abbaaa",0.263157894736842,0.114789380353018,0.309941520467836,0.0193465247785985
"113","abbabes",-0.101500030932349,0.163459780770468,-0.0230681888482611,-0.0601905154985808
"114","abbeypancake",0.0666666666666667,0.309734567178252,0.05,0.0244801718222107
"115","abbi-mac",0.24880667576406,0.227862186814501,-0.114833850352643,0.144471220673271
"116","Abby_Colina",-0.272727272727273,0.326001973432348,-0.490909090909091,-0.250589468734744
"117","Abby_Wayland",0.305794213500029,0.0691160747161607,-0.0398862017608733,0.229039224397508
"118","abbysnergles",0.342857142857143,0.172950908721608,0.304761904761905,0.0150375943319461
"119","abcoal",-0.175532535695048,0.277290370288262,-0.066225223652693,0.0416471871676436
"120","abernau",0.0303030303030303,0.0551938902420311,0.333333333333333,0.091730690824784
"121","aberro",0.0210526553820649,0.177944229379034,0.171428765253957,0.175194876478757
"122","Abessiivi",0.317573721362658,0.0995954707501371,-0.20855614973262,0.0319466430111141
"123","abigail095",-0.147971781808011,0.219723185490534,0.186158048081046,0.122732439775132
"124","abiolaidowu",0.0880378042644249,0.238436280934613,0.246834061630244,0.23068332388025
"125","abject_hero",0.288888888888889,0.181559060069243,0.0222222222222222,0.161563799071632
"126","abomanation666",-0.144201516696293,0.0362418373095579,0.393099531267982,0.443797054761651
"127","aBooster",0.142722832991738,0.193944852838272,0.0970515264343819,0.221123111453423
"128","Aboshin",-0.00867681000188266,0.195106713405233,-0.203463203463203,0.165830608797035
