"","user","fam_AT","pop_AT","ecletic","media_pop","propNov","fam_AT_norm","pop_AT_norm","ecletic_norm","media_norm","propNov_norm","cluster","nome"
"25","rosieS",0.426666666666667,0.0733333333333333,16.8058718132,5.96340348262,0.236363636363636,2.18827265562522,0.166669954121395,-0.115416390484045,1.29032385989996,0.0880820231001716,1,"Averso a artistas diferentes"
"26","Rotcrack",0.191063400922023,0.104776703731432,14.377056772,5.94281832776,0.279569892473118,0.802568905690308,0.34482575802934,-0.348731926772296,1.23573066925702,0.500557297485513,1,"Averso a artistas diferentes"
"27","balonowatecza",0.0592885375494071,0.154150197628458,17.8707711077,5.66299504373,0.222222222222222,0.0275332891615273,0.624572311455451,-0.0131206018897457,0.493620833538965,-0.0469211964196162,1,"Averso a artistas diferentes"
"28","Row-Man17",0.0399274704752345,0.0544465506480471,6.30216583162,5.98614583171,0.237623762376238,-0.0863390850716053,0.0596588446273794,-1.12441779756346,1.35063807215548,0.10011201295837,1,"Averso a artistas diferentes"
"29","rozituuu",-0.0222222222222222,0.2,15.0458032559,5.76787591519,0.0952380952380952,-0.451873331619399,0.884353890119054,-0.284491158378947,0.771771833585131,-1.2591950043524,1,"Averso a artistas diferentes"
"30","Rrash73",0.109589064411832,0.235677882481154,11.6663312452,5.31090600658,0.273170731707317,0.323376508807341,1.08650212533329,-0.609128197911624,-0.440142553676157,0.4394667094461,1,"Averso a artistas diferentes"
"31","rrv1984",0.0883991392175728,0.176798278435146,18.2718871814,5.68891582156,0.179487179487179,0.198747681147754,0.752894657056531,0.0254111966464305,0.562364448795241,-0.454897958704689,1,"Averso a artistas diferentes"
"32","rstockbower",0,0.121212121212121,13.5666115103,5.72085916462,0.173913043478261,-0.321173035221151,0.437947614139647,-0.426584487654159,0.647080304921067,-0.508112319002742,1,"Averso a artistas diferentes"
"33","Rtpallett",0.144110299690999,0.152844257248029,3.60137426173,6.11788241785,0.222222222222222,0.526413614543277,0.617172950146993,-1.38385979822743,1.70001220175054,-0.0469211964196162,1,"Averso a artistas diferentes"
"34","RubberSoul65",0.154150197628458,0.0988142292490119,22.7545742509,5.58160607827,0.24468085106383,0.585463408173809,0.311042819964902,0.456024693306952,0.277771920192974,0.167483612696156,1,"Averso a artistas diferentes"
"35","ruben0211",0.221056326918408,0.311188887277844,19.8451983849,5.53781510143,0.36241610738255,0.978972699981329,1.51434187638824,0.176545779134669,0.16163535657098,1.29146163180148,1,"Averso a artistas diferentes"
"36","RubenK1989",0.0588235294117647,0.137254901960784,21.5520808463,5.64773533826,0.176470588235294,0.0247983375977416,0.528844819655815,0.340511412625556,0.453151086503073,-0.4836963183954,1,"Averso a artistas diferentes"
"37","bamargero",-0.00569395162015485,0.148042742124026,19.0625037248,5.47155453733,0.203208556149733,-0.354662087620569,0.589967921676361,0.101358981756735,-0.0140920369134164,-0.228438130227734,1,"Averso a artistas diferentes"
